#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
2004-03-05.065.2350833.BP2-25.3s.p0.2.ms_20040305_104354901000|2004-03-05T10:43:47.444000Z|-43.45392|171.425|12000.0|yifan|delayednewz|||ML|2.1050000052133035|yifan|Darfield
2004-03-07.067.2196128.BP2-25.3s.p0.2.ms_20040307_213316361000|2004-03-07T21:33:03.112000Z|-42.96153|171.38658|5000.0|yifan|delayednewz|||ML|2.7260000038367225|yifan|Darfield
2004-03-18.078.2200957.BP2-25.3s.p0.2.ms_20040318_025223421000|2004-03-18T02:52:11.248000Z|-42.96811|171.47061|5000.0|yifan|delayednewz|||ML|2.59299999472188|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20040321_213752801000|2004-03-21T21:37:46.809000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|2.5520000039707225|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20040322_223447121000|2004-03-22T22:34:41.129000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.743248032528233|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20050219_104109601000|2005-02-19T10:41:03.609000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.956696933141099|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20061005_225933109000|2006-10-05T22:59:27.117000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|2.058760555833649|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20071112_143834089000|2007-11-12T14:38:28.097000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|2.245485830956731|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20080214_231254129000|2008-02-14T23:12:48.137000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.5279728232453675|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20080217_205622249000|2008-02-17T20:56:16.257000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.488544966385292|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20080217_211957489000|2008-02-17T21:19:51.497000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.8052870629872457|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20080630_094335189000|2008-06-30T09:43:29.197000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.4551170279951755|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20100109_062355025000|2010-01-09T06:23:49.033000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.754128543195557|yifan|Darfield
2004-03-21.081.2202598.BP2-25.3s.p0.2.ms_20100216_040513987000|2010-02-16T04:05:07.995000Z|-42.93033|171.92496|5000.0|yifan|delayednewz|||ML|1.3772277497153307|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20040419_104136421000|2004-04-19T10:41:27.822000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|2.4360000007838383|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20040602_134015281000|2004-06-02T13:40:06.682000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|1.4643945458302767|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20040907_212943941000|2004-09-07T21:29:35.342000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|1.4367626143477794|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20040908_015608361000|2004-09-08T01:55:59.762000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|1.721758545189882|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20040925_223021081000|2004-09-25T22:30:12.482000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|1.420395968689487|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20051016_181250789000|2005-10-16T18:12:42.190000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|1.5144191356000662|yifan|Darfield
2004-04-19.110.2216717.BP2-25.3s.p0.2.ms_20080805_224627049000|2008-08-05T22:46:18.450000Z|-42.86969|171.68715|12000.0|yifan|delayednewz|||ML|1.724250298103195|yifan|Darfield
2004-04-22.113.2218242.BP2-25.3s.p0.2.ms_20040418_234411521000|2004-04-18T23:43:59.100000Z|-43.07056|171.45724|12000.0|yifan|delayednewz|||ML|1.7542628950833692|yifan|Darfield
2004-04-22.113.2218242.BP2-25.3s.p0.2.ms_20040422_194250161000|2004-04-22T19:42:37.740000Z|-43.07056|171.45724|12000.0|yifan|delayednewz|||ML|2.645000000748419|yifan|Darfield
